S.no,Name,Adress,Phone,Fax,Email
52,MOTI LAL NEHRU DIVISIONAL HOSPITAL ,"Moti Lal Nehru Divisional Hospital, 12 Dr Katzu Road, PRAYAGRAJ, Prayagraj, Uttar Pradesh",05322240031 ,-  ,mbbmlndhalld@gmail.com
53,Lal Ded Hospital Srinagar,"Lal Ded Hospital Srinagar, Srinagar, Srinagar, Jammu and Kashmir",7006692208 ,0123456  ,ldhospitalsgr@gmail.com
54,Indian Red Cross Society Blood Bank Vishakhapatnam,"14 35 4, Red Cross Building, Near Zilla parished Maharanipeta, Visakhapatnam, Visakhapatnam, Andhra Pradesh",08912703953 ,-  ,secretaryvspredcross@gmail.com
55,Blood Bank Dist Hospital Ramban jammu,"Blood Bank Dist Hospital Ramban jammu, Ramban, Ramban, Jammu and Kashmir",7006144775 ,01998266908  ,ms.dh.ramban@gmail.com
56,Maharani Laxmi Bai Medical College Jhansi,"MLB,MEDICAL COLLEGE GATE NO-01, KANPUR ROAD, JHANSI, JHANSI, Jhansi, Uttar Pradesh",9415394764 ,-  ,Mlbbloodbank@gmail.com
57,District Hospital Basti,"Blood bank District Hospital Basti, Basti, Basti, Uttar Pradesh",9648727238 ,-  ,bbdh2018@gmail.com
58,DISTRICT HOSPITAL BLOOD BANK KORBA,"Indira Gandhi Distt.Hospital kosabadi, Rajgamar Road, Korba, Korba, Chhattisgarh",9589028750 ,-  ,bloodbankkorba@gmail.com
59,Central Red Cross Blood Bank Cuttack,"Mangalabag, Medical Road, Cuttack, Cuttack, Odisha",06712302258 ,-  ,crcbb.ctc@gmail.com
60,B.D.Pandey (MALE) District Hospital Nainital,"MALLITAL, NAINITAL, Nainital, Uttarakhand",05942235981 ,-  ,nainitalbb@gmail.com
61,BLOOD BANK NEW TEHRI,"GOVT. DISTRICT HOSPITAL , NEW TEHRI (BAURARI), Tehri Garhwal, Uttarakhand",9634990164 ,-  ,bauraribloodbank@gmail.com
62,Blood Bank Indira Gandhi District Hospital Mandsaur,"Blood Bank Indira Gandhi District Hospital Mandsaur, Mandsaur, Mandsaur, Madhya Pradesh",9407101767 ,-  ,bbdhmds@gmail.com
63,"Central Blood Bank , Institute of Preventive Medicine","Institute of Preventive Medicine, Narayanaguda, Hyderabad, Hyderabad, Telangana",04029569047 ,-  ,ipmbbank@gmail.com
64,ASYM District Hospital Budgam,"District hospital budgam, Budgam, Badgam, Jammu and Kashmir",9419035800 ,1951255238  ,drfurqanbhat@gmail.com
65,"Blood Bank, Gyati Takka General Hospital Ziro","Gyati Takka General Hospital Ziro, Ziro, Lower Subansiri, Arunachal Pradesh",08974541686 ,-  ,bloodbankziro@gmail.com
66,MAHARANA PRATAP DISTRICT COMBIND HOSPITAL BAREILLY,"MAHARANA PRATAP DISTRICT COMBIND HOSPITAL , BAREILLY, Bareilly, Uttar Pradesh",- ,-  ,Barellympdch@gmail.com
67,Sonam Nurboo Memorial SNM Hospital Blood Bank,"S.N.M hospital, Leh, Leh(Ladakh), Ladakh",9419219750 ,-  ,sonamangmo61@yahoo.co.in
68,Transfusion Medicine Govt Medical College Patiala,"Rajindra hospital sangrur road, Patiala, Patiala, Punjab",9417032016 ,-  ,bloodbankrhp@yahoo.com
69,Civil Hospital Bathinda,"B B Civil Hospital Bti Mansa road, B B Civil hospital opposite police lines, Bathinda, Bathinda, Punjab",9872069757 ,-  ,bloodbankchbti@gmail.com
70,Blood Bank Distt Hospital Rudraprayag,"Distt Hospital Rudraprayag, Rudraprayag, Rudraprayag, Uttarakhand",9412394455 ,-  ,bloodbankdhrpg@gmail.com
71,BLOOD BANK DISTRICT HOSPITAL NALGONDA,"BLOOD BANK DISTRICT HOSPITAL    GOLLAGUDA, NALGONDA, Nalgonda, Telangana",9441367822 ,-  ,nlgbloodbank@gmail.com.
72,L D Bhatt Govt. Hospital,"Sub District Hospital , Kashipur, Udham Singh Nagar, Uttarakhand",9719000555 ,-  ,bloodsaftyldbksp@gmail.com
73,"S.B.D. DISTT. HOSPITAL, SAHARANPUR","BLOOD BANK,SBD DISTT. HOSPITAL, BAJORIA ROAD, SAHARANPUR, SAHARANPUR, Saharanpur, Uttar Pradesh",9457860097 ,-  ,Sbd.bb.saharanpur@gmail.com
74,District Hospital Fatehpur,"G.T Road Aboonagar, Fatehpur, Fatehpur, Fatehpur, Uttar Pradesh",9696462483 ,-  ,Aashok0101@gmial.com
75,"BLOOD BANK, OSMANIA GENERAL HOSPITAL ","Room No. 421, 2nd floor , QQDC Block, , OSMANIA GENERAL HOSPITAL, AFZAL GUNZ, Hyderabad, Hyderabad, Telangana","040-24600146,9441742664 ",040-24619455  ,bloodbank.ogh@gmail.com
76,BLOOD BANK GURU GOBIND SINGH MEDICAL COLLEGE & HOSPITAL FARIDKOT,"GGS Medical College Hospital, Faridkot., FARIDKOT, Faridkot, Punjab","9877611719,009522380 ",-  ,drmaharishi@yahoo.com
77,Blood Bank Bageshwar,"S.L.S.Distt Hospital , Bageshwar, Bageshwar, Uttarakhand",9760574235 ,-  ,-
78,District Combined Hospital Baghpat," District Combined Hospital Baghpat, Baghpat, Baghpat, Uttar Pradesh",9457033425 ,   ,Bbdchbaghpat@gmail.com
79,Civil Hospital Fatehgarh sahib,"Civil Hospital Fatehgarh sahib, Fatehgarh sahib, Fatehgarh Sahib, Punjab",9888333292 ,-  ,bloodbankchfgs@gmail.com
80,Govt District Hospital Rajouri,"Govt District Hospital Rajouri, Rajouri, Rajouri, Jammu and Kashmir",8803799089 ,-  ,maroofmir426@gmail.com
81,Combined District Hospital Bijnor Blood Bank,"DISTRICT HOSPITAL MANDAWAR ROAD , BIJNOR, Bijnor, Uttar Pradesh",9761429021 ,-  ,Bloodbankbjr@gmail.com
82,Blood Bank Civil Hospital Tarn Taran,"Guru Teg Bahadur Nagar, Tarn Taran , Tarn Taran, Punjab",8847228392 ,-  ,bloodbanktarntaran@rediffmail.com
83,SPS Blood Bank Rishikesh,"SPS Blood Bank Rishikesh, Rishikesh, Dehradun, Uttarakhand",9760374004 ,-  ,spsbloodbank@gmail.com
84,Civil Hospital Khanna,"Civil Hospital Khanna, khanna, Ludhiana, Punjab",9814067540 ,-  ,ictcchk@yahoo.com
85,Govt.Medical College Jammu,"Maheshpura,Bakshi Nagar, Jammu, Jammu, Jammu and Kashmir","01912584290,92,94 ",-  ,bbgmcjammu@gmail.com
86,Distt. Hospital Mainpuri,"MTS Distt. Hospital Male Blood Bank Mainpuri, Mainpuri, Mainpuri, Uttar Pradesh",9457488268 ,-  ,Bloodbankmainpuri@gmail.com
87,"Blood Bank, Guru Nanak Dev Hospital, Amritsar","Blood Bank, Guru Nanak Dev Hospital, Majitha Road, Amritsar, Amritsar, Amritsar, Punjab",9814233291 ,   ,modelbloodbankasr@gmail.com
88,Blood Bank District Hospital Handwara,"Blood Bank District Hospital Handwara, Srinagar, Kupwara, Jammu and Kashmir",955262194 ,-  ,-
89,Blood Bank  District Hospital Banda,"Blood Bank  District Hospital Banda, civil lime chilla road, Banda, Banda, Uttar Pradesh",9415569666 ,-  ,bloodbankbandanew@gmail.com
90,Blood Bank CH Malerkotla,"Railway Road, Malerkotla, Sangrur, Punjab",01675253057 ,-  ,civilhospitalmalerkotla@gmail.com
91,"Blood Bank, Bhopal Memorial Hospital & Research Centre","Bhopal Memorial Hospital & Research Centre , Raisen Bypass Road, Karond, Bhopal, Bhopal, Madhya Pradesh","0755 2742549,09425012342 ",0755-2748309  ,bloodbank.bmhrc@gmail.com
92,District Hospital Hardoi ,"Jila Cikitsaliye, Hardoi, Hardoi, Uttar Pradesh",05852236071 ,-  ,Bbdhhdi@gmail.com
93,Blood Bank  District Hospital Almora,"Blood Bank District Hospital ALMORA, ALMORA, Almora, Uttarakhand",9557929638 ,-  ,bbdhalmora@gmail.com
94,JBMM Civil Hospital amritsar,"jallian lodi bagh marytri civil hosptial, G T Road amritsar, amritsar, Amritsar, Punjab",9878962064 ,-  ,btspunjab@gmail.com
95,Indian Red Cross Society Blood Bank Bhopal,"RedCross Campus Shivaji Nagar, Link Road No.1, Bhopal, Bhopal, Madhya Pradesh",0755-2550346 ,-  ,bloodbank.ircs@gmail.com
96,CIVIL HOSPITAL HOSHIARPUR ,"CIVIL HOSPITAL HOSHIARPUR, HOSHIARPUR, Hoshiarpur, Punjab",9872890591 ,-  ,Dr.amarjitlal@ymail.com
97,DEMO BLOOD BANK,"SECTOR 1001, Hospital Premises, Chandigarh, Chandigarh, Chandigarh",8010224902 ,123456  ,blddemo@gmail.com
98,District Hospital Orai Jalaun,"District Hospital Orai Jalaun, Orai , Jalaun, Uttar Pradesh",9454455328 ,-  ,cmsmaleorai@gmail.com
99,"Civil Hospital, Rampura Phul","Civil Hospital, Rampura Phul, Rampura Phul, Bathinda, Punjab",8427008060 ,-  ,bbrampuraphul@gmail.com
100,District Hospital kulgam,"opp. Fruit Mandi kulgam, DH Kulgam, Kulgam, Kulgam, Jammu and Kashmir",01931260398 ,-  ,dhkulgam@gmail.com
101,Govind Singh Mahara Blood Bank Ranikhet,"Govind Singh Mahara Blood Bank, Ranikhet, Almora, Uttarakhand","9412325961,941092007 ",-  ,Bbgsmranikhet123@gmail.com
102,Blood Bank Civil Hospital Jalandhar,"Blood Bank Civil Hospital Jalandhar, Jalandhar, Jalandhar, Punjab",01812233356 ,-  ,gd71@diffmai.com
103,Govt Blood Bank Champawat,"Govt Blood Bank District Hospital, Govt Blood Bank District Hospital, Champawat, Champawat, Uttarakhand",9758284391 ,   ,bloodbankchampawat@gmail.com
104,Indian Red Cross Society NHQ Blood Center,"1, Red Cross Road, New Delhi, New Delhi, Delhi",1123711551 ,01123717454  ,drvanshree2002@yahoo.co.in
105,Dr. Shyama Prasad Mukherji (Civil) Hospital Lucknow,"Park Road, Hazrat Ganj , Lucknow, Lucknow, Uttar Pradesh",7376265917 ,-  ,bloodbankspmhlucknow@gmail.com
106,"GANDHI HOSPITAL BLOOD BANK, Musheerabad Secunderabad","1st Floor, A Block, Gandhi Hospital, Musheerabad, Secunderabad, Hyderabad, Telangana",9010224343 ,-  ,gandhihospitalbloodbank@yahoo.com
107,"Odisha Blood Bank, Municipal Hospital, Bhubaneswar","Old Town, Blood Bank, Samantarapur,, Bhubaneswar, Khordha, Odisha",0674-2591206 ,-  ,redcrossbloodbank.bmc2011@gmail.com
108,"Odisha Blood Bank,S.D. Hospital, Kuchinda","Orissa Red Cross Blood Bank,S.D. Hospital, Kuchinda, Kuchinda, Sambalpur, Odisha",06642-220509 ,-  ,redcrossbloodbank.kcd@gmail.com
109,"Odisha Blood Bank S.D. Hospital, Karanjia","Orissa Red Cross Blood Bank S.D. Hospital, Karanjia, Karanjia, Mayurbhanj, Odisha",06796-221832 ,-  ,bbkaranjia@gmail.com
110,"Odisha Blood Bank (S.D.H.), Padmapur","At- Jamla, Po- Padampur, Bargarh, Padmapur, Bargarh, Odisha",06683-223490 ,-  ,jadumanisahu799@gmail.com
111,"Odisha Blood Bank, Angul","Odisha Blood Bank, DHH, Angul, Angul, Angul, Angul, Odisha",06764230880 ,-  ,bbangul@rediffmail.com
112,"Odisha Blood Bank, S.D.H. Campus, Athamalik.","S.D.H. Campus, Athamalik, Athamalik, Angul, Odisha",9438683127 ,-  ,bbathamallik@gmail.com
113,Odisha Blood Bank (Capital Hospital),"Unit 6, Capital Hospital Campus, , Bhubaneshwar, Khordha, Odisha",0674-2394985 ,-  ,bbbbsrchb@gmail.com
114,"Odisha Blood Bank, D.H.H., Bhawanipatna","D.H.H., Bhawanipatna, Bhawanipatna, Kalahandi, Odisha",06670-234952 ,-  ,BBbhabanipatna@gmail.com
115,"Odisha Blood Bank, Dist Head Quarter Hospital, Parlakimundi","Dist Head Quarter Hospital, Parlakimundi, Gajapati, Gajapati, Odisha",06815-222467 ,-  ,bbgajapati@gmail.com
116,"Odisha Blood Bank, D.H.H. Malkangiri","District Headquarter Hospital, Dnk, Malkangiri,, Malkangiri, Malkangiri, Odisha",06861-231200 ,-  ,bbmalkangiri@gmail.com
117,Odisha Blood Bank Deogarh,"District Head Quarter Hospital, DHH, Deogarh, Debagarh, Odisha",06641-226182 ,-  ,bbdeogarh@gmail.com
118,Immuno Haematology & Blood Transfusion Centre,"IGH, Rourkela, Sundargarh, Odisha",NA ,-  ,-
119,"Odisha Blood Bank, DHH., Nowrangpur","Christian Hospital, At/Po & Dist. Nabarangpur, Nabarangpur, Nabarangapur, Odisha",06858-222057 ,-  ,orcbb.nabarangpur@gmail.com
120,"Odisha Red Cross Blood Bank, Dist.H/Q Hospital, Boudh"," Blood Bank, Dist.H/Q Hospital, Boudh, Boudh, Baudh, Odisha",06841-222202 ,-  ,orcbbboudh@gmail.com
121,District Hospital Blood Bank Yamunanagar,"Trauma Centre, Blood Bank, 1st Floor, Jagadhari, Yamunanagar, Yamunanagar, Haryana","01732-200106, 09466359077 ",-  ,bloodbanktcynr@gmail.com
122,"Odisha Red Cross Blood Bank, Dist. H.Q. Hospital, Phulbani","Orissa Red Cross Blood Bank, Dist. H.Q. Hospital, Phulbani, Kandhamal, Kandhamal, Odisha",06842-253006 ,-  ,orcbloodbank.phulbani@gmail.com
123,ODISHA BLOOD BANK CHC KANTABANJI,"C.H.C Campus, Kantabanji, Bolangir, Balangir, Odisha",06657-220464 ,-  ,bbokantabanji@gmail.com
124,General Hospital Blood Bank Sonipat,"General Hospital, Sonepat, Sonipat, Sonipat, Haryana", 08607010701 ,-  ,drvermasanjay04@gmail.com
125,Smt Indira Gandhi Govt Multispecialty Blood Bank District Hospital Kaithal,"Sector-18, Kaithal, Kaithal, Haryana","9416182915, 09991717988, 09466484634 ",-  ,bloodbankghktl@gmail.com
126,Apollo Hospital,"Plot No. 251, Sainik School Road, Unit-15, Bhubaneswar, Bhubaneswar, Khordha, Odisha",0674-6660454 ,-  ,apollohospitals.bbsr@gmail.com
127,RBTC General Hospital Blood Bank Hisar,"Civil Hospital Blood Bank, Near Bus Stand , Hissar, Hisar, Haryana","09468248136, 01662-275566 ",-  ,drjoginderkapoor1962@gmail.com
128,General Hospital Blood Bank LNJP Kurukshetra,"Thanesar, Kurukshetra, SH-6, Kaithal Kurukshetra Road,, Kurukshetra, Kurukshetra, Haryana","01744-293580, 01744-290344,  9896741289 ",-  ,bloodbanklnjpkkr@gmail.com
129,B.K. General Hospital,"New Industrial Township, Faridabad, Faridabad, Haryana","0129-2416169, 2414300, 09643675000 ",-  ,rbtcfaridabad@gmail.com
130,"Central Red Cross Blood Bank, Manglabag, Cuttack","Central Red Cross Blood Bank, Professors Colony, Mangalabag,Cuttack,, Manglabag, Cuttack, Odisha",0671-2302258  ,-  ,crcbb.ctc@gmail.com
131,"Odisha Blood Bank, S.D. Hospital, Udala","S.D. Hospital, Udala, Mayurbhanj Odisha, Udala, Mayurbhanj, Odisha",9438463520 ,-  ,bbudala23@gmail.com
132,"Odisha Blood Bank (S.D. Hospital Campus), Anandapur","S.D. Hospital Campus, Anandapur, Anandapur, Kendujhar, Odisha",06731-221467 ,-  ,bbanandapur@gmail.com
133,"Odisha Blood Bank, District Head Quarter Hospital, Dhenkanal","Odisha Red Cross Blood Bank, District Head Quarter Hospital, Dhenkanal, Dhenkanal, Dhenkanal, Odisha",06762-221388 ,-  ,rbbdhenkanal@gmail.com
134,General Hospital Bhiwani Blood Bank ,"Krishna Colony, Bhiwani, Bhiwani, Bhiwani, Haryana","09467074267  ,      01664-242110 ",-  ,bhiwanibloodbank@gmail.com
135,"Odisha Blood Bank, Dist. H/Q Hospital, Nayagarh","Dist. H/Q Hospital, Nayagarh, Nayagarh, Nayagarh , Odisha",06753-252410 ,-  ,nayagarhbloodbank@gmail.com
136,"Odisha Blood Bank, District Headquarter Hospital, Kendrapara","Kendrapara,, Kendrapara, Kendrapara , Odisha",06727-233334 ,-  ,bbkendrapara@gmail.com
137,"General Hospital, Ambala City","General Hospital, Ambala City, Ambala City, Ambala, Haryana","0171-2552908, 09416110322 ",-  ,bloodbankambala@gmail.com
138,"Odisha Blood Bank, Govt. Hospital Campus, Rourkella","Panposh Rd, Udit Nagar, Rourkela, Rourkella, Sundargarh, Odisha",0661-2401770 ,-  ,bbrourkela@gmail.com
139,General Hospital Blood Bank Gurgaon,"Manohar Nagar, Sector 8,, Civil Hospital Blood Bank, Gurgaon, Gurgaon, Haryana","9868822200, 01242310102 ",-  ,dhs.csgur@gmail.com
140,Odisha Blood Bank (DHH),"Dist. H/Q Hospital, Baragarh, Baragarh, Bargarh, Odisha",06646-234104 ,-  ,bbbargarh@gmail.com
141,Blood Bank General Hospital Fatehabad,"General Hospital, Fatehabad, Fatehabad, Haryana","01667-226786, 225898, 222443, 9729951452 ",-  ,dhs.csftb@hry.nic.in
142,"Odisha Blood Bank Dist H/Q Hospital, Koraput","Dist H/Q Hospital, Koraput, Koraput, Koraput, Odisha",06852-252101 ,-  ,bloodbankkoraput@gmail.com
143,General Hospital Blood Bank Jind,"General Hospital, Jind, Jind, Jind, Haryana",01681-245454 ,-  ,bloodbankghjind@gmail.com
144,"General Hospital, Jhajjhar","General Hospital, Jhajjhar, Jhajjhar, Jhajjar, Haryana","01251-254014, 253133, 09729078039 ",-  ,hasijaindira7@gmail.com
145,District Hospital Blood Bank Mahendergarh,"General Hospital, Narnaul, Narnaul, Mahendragarh, Haryana","01282-251237, 9992079524 ",-  ,bloodbankghnarnaul@gmail.com
146,Blood Bank General Hospital Mewat,"General Hospital, Mandikhera, Mewat, Nuh, Haryana", 9911620036 ,-  ,bbghcsmwt@gmail.com
147,District Hospital Blood Bank Panchkula,"Sector 6, Panchkula,  4th Floor, Hospital Block, Panchkula, Panchkula, Haryana","0172-2567228, 2587162, 9417894162 ",-  ,dcspklaids@gmail.com
148,Blood Bank General Hospital Palwal,"New Sohana Road, Palwal, Palwal , Haryana","01275-240099,  9813637510 ",-  ,bloodbankpalwal@gmail.com
149,S.C.B. M.C.H.,"Dock Road, Manglabag, Cuttack, Cuttack, Cuttack, Odisha",0671-2424202 ,-  ,hod.transmed.scb@gmail.com
150,General Hospital Blood Bank Rewari,"Room No. 16 Civil Hospital, Rewari, Rewari, Haryana","01274-254743, 8130445401 ",-  ,bloodbankghrewari@gmail.com
151,General Hospital Blood Bank Sirsa,"General Hospital, Sirsa, Sirsa, Sirsa, Haryana","01666-241155, 09416657072 ",-  ,bbghsirsa@gmail.com
